hosp_id,address,latitude,longitude
DFIMS000621,"Tlatelolco, Cuauhtémoc, 06900 Mexico City, CDMX, Mexico",19.4546956,-99.1393035
DFIMS000324,"Eje 4 Sur, Av. Pdte. Plutarco Elías Calles 473, Santa Anita, Iztacalco, 08300 Ciudad de México, CDMX, Mexico",19.3986738,-99.1174278
DFSDN000115,"San Andrés Totoltepec, Tlalpan, 14400 Mexico City, CDMX, Mexico",19.2646042,-99.1529789
NLIMS000204,"C. Mariano Matamoros 300, Centro de Guadalupe, 67100 Guadalupe, N.L., Mexico",25.6731688,-100.2614015
PLSSA008572,"Carretera Mexico-Oaxaca S/n, La Palma, 74940 Acatlán, Pue., Mexico",18.1857629,-98.0564612
DFIMS000522,"Municipio Libre 270, Portales Nte, Benito Juárez, 03300 Ciudad de México, CDMX, Mexico",19.3696537,-99.1558374
PLSSA008485,"Arias N, A, 73800 Teziutlán, Pue., Mexico",19.8220076,-97.37660419999999
MCIMS000145,"Av. Cuauhtémoc Ote. 26, Santiaguito, 56600 Chalco de Díaz Covarrubias, Méx., Mexico",19.2597425,-98.8933682
GTIMS000506,"Hacienda Silao, Sin Colonia, 36100 Silao de La Victoria, Gto., Mexico",20.9469006,-101.4106727
MCIMS000874,"Av. la Quebrada, Sta Maria Guadalupe, 54769 Cuautitlán Izcalli, Méx., Mexico",19.5973466,-99.18840499999999
GTIMS000062,"Mutualismo & Río Lerma SN, Centro, 38060 Celaya, Gto., Mexico",20.5185759,-100.8239398
MCSSA001636,"Alfonso Reyes, Paseos de Sta Maria, 54800 Cuautitlán, Méx., Mexico",19.6644447,-99.17856739999999
GTSSA003151,"Calle Acacia S/N, Col. Campo Verde, Zona Centro, 36200 Romita, Gto., Mexico",20.870823,-101.5230782
MCSSA010251,"Boulevar Turistico Ixtapan De La Sal-Tonatico E N/A, 51900 Ixtapan de la Sal, Méx., Mexico",18.8188111,-99.66811890000001
CSIST000251,"16°44'54. 93°04'29., Av Cuatro 3""N, San Pedro, Tuxtla Gutiérrez, Chis., Mexico",16.7484144,-93.0748184
MNIMO000244,"Lázaro Cárdenas, Centro, 61830 Ario de Rosales, Mich., Mexico",19.210401,-101.7117407
VZIMS000564,"Nicolás Bravo, Zona Centro, Centro, 91000 Xalapa-Enríquez, Ver., Mexico",19.5222791,-96.9209053
GTSSA002760,"Prolongacion Degollado s/n, Las Americas, 36904 Pénjamo, Gto., Mexico",20.4336339,-101.7070448
DFSSA003162,"Av. México Coyoacán S/N, Gral Anaya, Benito Juárez, 03340 Ciudad de México, CDMX, Mexico",19.3602817,-99.16228319999999
MCIMS000676,"Carr Federal México-Puebla Km 17.5, Villa de la Paz, Rincon de los Reyes, 56400 Los Reyes Acaquilpan, Méx., Mexico",19.3568168,-98.9910129
MCSME000781,"Ing. Luis Galindo Ruiz 21, 50450 Atlacomulco, Méx., Mexico",19.790644,-99.8743009
GTSSA016842,"Jose Vasconcelos 101, Zona Centro, 38240 Santa Cruz de Juventino Rosas, Gto., Mexico",20.6412014,-100.9847992
OCIMO003304,"Oaxaca, Mexico",17.0542297,-96.7132304
TSIST000100,"Calle Nicolás Bravo s/n, Ferrocarril Zona Centro, 88500 Reynosa, Tamps., Mexico",26.0885126,-98.2850909
GTSSA005432,"Valencia 10, Los Veneros, 36400 Purísima de Bustos, Gto., Mexico",21.0395607,-101.873003
MCIMS001200,"Av. Paseo de la Reforma 476, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",19.4237317,-99.17334559999999
